ref,title,author,lastRunTime,totalVotes
zaburo/2nd-place-solution-zaburo-s-part,2nd place solution (@zaburo's part),KaizaburoChubachi,2025-02-01 00:20:32,11
gauravduttakiit/pss5e2-optimize-for-deployment-gpu,PSS5E2 : optimize_for_deployment : gpu,Gaurav Dutta,2025-02-01 01:03:33,7
abdmental01/a-good-start-catboost,A Good Start Catboost,Sheikh Muhammad Abdullah,2025-02-01 02:45:59,5
cdeotte/6th-place-add-holidays-lb-0-046,6th Place - Add Holidays - [LB 0.046],Chris Deotte,2025-02-01 00:55:12,6
elasgustavoknaus/anova-optuna-gpu-xgbregressor,ANOVA | Optuna | GPU | XgbRegressor,KnEl1a,2025-02-01 04:57:25,3
gauravduttakiit/pss5e2-dataset,PSS5E2 : Dataset,Gaurav Dutta,2025-02-01 02:54:16,3
itzgauurab/worse-than-baseline,Worse than baseline!,Gaurab Baral,2025-02-01 00:19:27,6
gauravduttakiit/pss5e2-good-quality-gpu,PSS5E2 : good_quality : gpu,Gaurav Dutta,2025-02-01 01:18:36,4
yteshima/ps5s1-easy-dashboard-and-prediction,PS5S1_easy_dashboard_and_prediction,Y.Teshima,2025-02-01 04:38:52,3
gauravduttakiit/pss5e2-medium-quality-gpu,PSS5E2 : medium_quality : gpu,Gaurav Dutta,2025-02-01 01:01:53,4
zyh1104/backpack-visual-analysis,Backpack | Visual analysis🧑‍🎓,yihao zhu,2025-02-01 04:17:32,2
mpwolke/backpack-you-get-what-you-pay-for,Backpack: You get what you Pay for! ,Marília Prata,2025-02-01 04:54:47,7
bhavyam24/human-stress-prediction-cleaned-dataset,Human Stress Prediction (Cleaned) Dataset,DataQ,2025-02-01 03:24:00,3
chitradas/ex1-pss5e2-optimize-for-deployment-gpu,Ex1 : PSS5E2 : optimize_for_deployment : gpu,Chitra Das,2025-02-01 03:16:46,2
gauravduttakiit/ex1-pss5e2-lazypredict,Ex1 : PSS5E2 : LazyPredict,Gaurav Dutta,2025-02-01 03:00:51,2
umehabibaakbarali/heart-attack-risk,Heart_attack_risk,um e habiba  Akbar Ali,2025-02-01 02:52:35,2
aryagokh/automl-backpack,AutoML-Backpack,Arya Gokhale,2025-02-01 02:43:42,2
gyogyocat/5-2-baseline-gbm-cat,"5_2_baseline(GBM,CAT)",GyoGyoCat,2025-02-01 02:06:01,4
tarundirector/backpack-prediction-initial-eda,🎒Backpack Prediction💼 | Initial EDA📈 ,Tarun Mishra,2025-02-01 01:54:15,4
asalhi/3rd-place-sa-weighted-candidate-generator-sol1,[3rd Place] SA Weighted Candidate Generator Sol1,Ali,2025-01-31 19:42:02,13
